,dog,height,weight,life_expectancy,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,popularity_rank,color,marking,breed_info,health,grooming,excercise,training,nutrition
257,Teddy-Roosevelt-Terrier,8-14 inches,8-25 pounds,14-16 years,5,5,5,3,1,1,Smooth,Short,1,3,3,5,3,3,3,3,,Black & White-Blue & White-Fawn & White-Lemon & White-Red & White-Sable & White-Silver & White-White & Apricot-White & Black-White & Fawn-White & Lemon-White & Red-White & Sable-White & Silver-Chocolate & White-Blue Fawn & White-White & Chocolate-White & Blue-White & Blue Fawn,Merle Markings-Tan Points-Brindle Points-Brindle,"The Teddy Roosevelt Terrier is a lively, friendly, affectionate dog with his family but can be somewhat of a one-person dog. With his strong protective nature and well-developed pack instincts, the Teddy Roosevelt Terrier gets along well with children (when raised with them), cats, and other dogs. He is a bold, tenacious hunter with seemingly unlimited energy whose size and endurance makes him an excellent hunter of squirrels and vermin.
Teddy Roosevelt Terriers are delightful companions in the home. They learn quickly and are ready for any activity their owners engage in. While they will still keep the family farm and home free of rats and mice, the job for which they were bred, they also excel in companion sports such as agility and obedience. They get along with other dogs without belligerence and have retained their prey drive without obsessive compulsion. At the end of the day, they love nothing better than to share the love and companionship of their owners. Teddies can adapt to pretty much any lifestyle, whether you show in conformation rings, work in agility trials, or just want a great companion for your home or farm. Their small to medium size makes them suitable for apartment living as well. This loyal, active and playful breed is at its best as a member of its human family.  


Club Contact Details 


Club Name: American Teddy Roosevelt Terrier Club  - www.teddyrooseveltterrier.org
Contact: Deborah Botruff 
Email: Americantrtclub@gmail.com 
","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The majority of Teddy Roosevelt Terriers are healthy dogs, and responsible breeders screen their stock for health conditions such as patellar luxation and eye disease. Working with a responsible breeder, those wishing to own a Teddy Roosevelt Terrier can gain the education they need to know about specific health concerns within the breed. Good breeders utilize genetic testing of their breeding stock to reduce the likelihood of disease in their puppies.","The Teddy Roosevelt Terrier is very low maintenance and easy to groom. A seasonal shedder, he only requires weekly brushing with a soft brush or rubber curry mitt. The occasional bath will keep him clean and looking his best. Nails should be trimmed as needed with a nail clipper or grinder to avoid overgrowth, splitting, and cracking. Ears should be checked regularly to avoid a buildup of wax and debris, which can result in infection. Teeth should be brushed as needed.","The Teddy Roosevelt Terrier is an energetic breed with seemingly boundless energy. Options for exercise could include play time in the backyard, preferably fenced, or being taken for walks several times a day. Exercise can also come in the form of indoor activities, like hide-and-seek, chasing a ball rolled along the floor, or learning new tricks. Certain outdoor activities like swimming, hiking, and retrieving balls or flying discs can provide a good outlet for expending energy. If you live in an apartment, even short walks in the hallways can give your dog some exercise, especially during inclement weather. Training for dog sports like agility, obedience, and rally can also be a great way to give your dog exercise.","The sturdy Teddy Roosevelt Terrier is a fearless hunter, yet fun-loving, friendly, and a sensible companion. Generally good with other animals and children, this terrier's intelligence, intuitiveness, and ""eager to please"" mentality make them easy to train. Teddy Roosevelt Terriers excel in many events, including agility and obedience. These events serve as excellent exercise outlets and bonding opportunities between dog and handler. Teddies thrive on praise, make excellent house dogs, and can be crate trained, but they do not do well in kennels, consistently tied up, or as outside-only dogs where they are isolated from people. Beyond their intelligence, they are unusually intuitive, anxious to please, and determined."
258,Thai-Ridgeback,20-24 inches,35-75 pounds,12-13 years,5,3,3,3,1,1,Smooth,Short,3,4,5,3,4,4,3,4,,Black-Blue-Red-Yellow,,"The Thai Ridgeback is tough and active, with an excellent jumping ability. He is highly intelligent, has a strong survival instinct, and is a loyal family dog.
The Thai Ridgeback is a muscular, medium-sized dog with a stream-lined body that makes him very agile and a natural athlete. The ridge on his back is formed by hair growing in the opposite direction from the rest of his coat and the breed has up to 8 different ridge patterns. Puppies can be born without this ridge. Coat colors include solid blue, black, red or fawn with a black mask occasionally on the red-coated dogs. Thai Ridgebacks also have spotted tongues and some even come with solid black/blue tongues. Today, most Ridgebacks are companion dogs, but they still maintain many of the same instincts for the jobs for which they were bred: hunting and guarding. They had to be independent, self-sufficient and hunt for their own food, which gave them strong survival instincts, a high prey drive, and a high level of intelligence. If well-bred and properly socialized, the Thai Ridgeback can be a loyal, loving pet. As a guarding breed, they are naturally protective of their home and can be reserved and suspicious with strangers. Thai Ridgebacks will need a patient, consistent, and experienced owner with a good understanding of dog behavior; they are not for first-time dog owners.  

Club Contact Details 

Club Name: Association of Thai Ridgeback Owners and Fanciers 
Contact: Cathleen A. Combs, President 
Email: bellehoundsk9s@aol.com 
Address: 1460 Lemon Northcutt Road, Dry Ridge, KY 41035 
Phone: 859-445-8739","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Hip dysplasia, though rare, can occur in the Thai Ridgeback. More common is the Dermoid Sinus Cyst. Some dogs may be faced with these health challenges in their lives, but the majority of Thai Ridgebacks are healthy dogs. Working with a responsible breeder, prospective owners can gain the education they need to learn about specific health concerns within the breed.","The Thai Ridgeback's coat is short, hard, and straight, therefore, occasional brushing to wipe away loose hair is all that is needed. More frequent brushing may be needed when he is shedding, which occurs only once or twice yearly. Due to the absence of an undercoat, people with dog-dander allergies may find that the Ridgeback bothers them less than other breeds.



 Beyond regular grooming, the occasional bath will keep your Thai Ridgeback clean and looking his best. Grooming can be a wonderful bonding experience for you and your dog. The strong, fast-growing nails should be trimmed regularly with a nail clipper or grinder to avoid overgrowth, splitting, and cracking. The ears should be checked regularly to avoid a buildup of wax and debris, which can result in infection. Teeth should be brushed regularly.","Options for exercise include play time in the backyard, preferably fenced, or taken for walks several times a day. Exercise can also come in the form of indoor activities, like hide-and-seek, chasing a ball rolled along the floor, or teaching them new tricks. Certain outdoor activities like swimming, hiking, retrieving balls or flying discs can provide a good outlet for expending energy. If you live in an apartment, even short walks in the hallways can give your dog some exercise, especially during inclement weather. Training for dog sports like agility, obedience and rally can also be a great way to give your dog exercise.","Naturally protective and reserved with strangers, Thai Ridgebacks would do best with proper socialization and training. An experienced owner/handler in dog behavior is required as this breed can be very independent."
259,Tibetan-Mastiff,minimum 26 inches (male),90-150 pounds (male),10-12 years,4,3,3,4,3,3,Double,Medium,1,3,5,3,3,3,3,4,131 of 202,Black-Black & Tan-Brown-Cream-Red Gold-Brown & Tan-Blue Gray-Cream Sable-Red Gold Sable-Blue Gray & Tan,White Markings,"Watchful, aloof, imposing, and intimidating: The ancient Tibetan Mastiff is the guardian dog supreme. These densely coated giants are mellow and calm around the house, sweetly devoted to family, and aloof and territorial with strangers.
Coming face to face with this ancient behemoth, an intruder up to no good will likely move on to easier pickings. TMs can stand 26 inches at the shoulder and weigh well over 100 pounds. It's impossible to discuss this breed without leaning on words like 'powerful,' 'muscular,' massive,' and 'substantial.' And yet, TMs are quite light-footed and will meet a perceived threat with surprising agility. The broad head, with its high-set, V-shaped ears and expressive brown eyes, projects a noble, sagacious expression.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The Tibetan Mastiff is a relatively healthy breed, and responsible breeders will screen their stock for health conditions such as elbow and hip dysplasia, hypothyroidism, and eye anomalies including entropion and ectropion. Seizures have been reported, but the issue is not prevalent in the breed.","Tibetan Mastiffs are double coated, with a heavy, wooly undercoat and coarse guard hair. They have a low-maintenance coat that requires minimal grooming during the majority of the year. A weekly brushing with a slicker or a long pin brush to remove surface dirt and the use of a wide-tooth comb on the tail, mane, and breeches to remove tangles are all that is required. TMs 'blow' their undercoat once a year in a massive shedding in late spring or summer. During this time, it is best to use an undercoat rake or de-shedding tool. According to the breed standard, TMs are to be shown naturally; no clipping or trimming is acceptable except to shape the feet and to give a clean appearance to the hocks.","Tibetan Mastiffs need daily moderate exercise, but it does not need to be in the form of an organized activity. TMs prefer to focus on work-related tasks, such as patrolling their territory, rather than structured play, such as chasing a flying disc or playing fetch. They are more active in cooler weather. They tend to conserve energy until needed, exhibiting only short bursts of activity, and lack endurance. They make good throw-rugs in winter, and air-conditioner vent covers in summer!","Tibetan Mastiffs do not respond well to traditional obedience training. They are highly intelligent, learn quickly, and do not feel the need to repeat what they already know. They will do what their owners ask of them  they respect and trust their judgment'¿but if there is ever a question, the TM will follow his instincts over training. In general the breed is not food driven, and they do not reliably respond to treats as a training tool. They are also notorious for performing impeccably in class and then completely ignoring all commands when they are once again at home. They do not have reliable recall and should never be trusted off leash."
260,Tibetan-Spaniel,10 inches,9-15 pounds,12-15 years,5,5,3,3,2,2,Double,Medium,4,4,4,4,3,3,3,3,119 of 202,Black-Black & Tan-Cream-Gold-Red-Sable-White-Silver Sable,White Markings-Parti-Color,"The frisky and curious Tibetan Spaniel was bred ages ago for sentinel work on the walls of Tibetan monasteries. Known for a flat, silky coat and 'lion's mane' around the neck, the Tibbie forms a tight, worshipful bond with their humans.
With a blunt muzzle and big expressive eyes, a 'lion's mane' around the neck, and a plumed tail elegantly curving over the back, they're distinctly Tibetan. But are they spaniels? No, not in the Western sense, like Cockers or Cavaliers. Instead, Tibbies recall the ancient traditions that produced Pekes, Pugs, Lhasas, and other unmistakably Asian breeds. Tibbies stand about 10 inches at the shoulder; they move quickly and with purpose. They're seen in coats of many colors and combinations.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Tibetan Spaniels are a relatively health breed, and responsible breeders screen their stock for health conditions such as progressive retinal atrophy (a genetic eye disease); 'cherry eye,' an inflammation of tissue adjacent to the eye that often is corrected surgically; and patellar luxation. Before going to their new homes, puppies should be checked for portosystemic shunt (liver shunt), in which the blood flow around and/or through the liver is affected.","Whether show or pet, the Tibetan Spaniel is a natural breed that does not require trimming except for the hair on the bottom of their feet, for cleanliness. The area behind the ears tends to mat and should be combed frequently, but otherwise the breed's coat does not tend to mat. A regular brushing and bath will keep the coat in good condition, with attention also given to the rear fringes, which can use a regular combing. Tibetan Spaniels do shed, and can do a good shed any time of the year. A bath and conditioning can help at this time. If the Tibbie is taken to a groomer, they should be advised to not cut the hair on the belly or between the legs. Many groomers regularly do a 'sanitary cut' unless the owner advises them not to. Tibetan Spaniels will lick and itch badly if a sanitary cut is done. Nails should be trimmed as puppies, training the Tibbie to get used to regular nail trimming. They can be very bad about their nails unless worked with early.","A daily walk is always enjoyable to a Tibetan Spaniel. They are as happy lying around the house as they are taking a long run in the yard. A fenced yard is a must. They are a great breed for owners who would like a dog to accompany them on long walks or jogs, as they are able to keep up with their human partner.","Tibetan Spaniels are smart and eager to please, and can excel in canine activities such as agility, scent work, rally, and obedience. They have a very independent mind, however, and will decide if and when they will do what is asked of them, so an early start to training is needed, and it should be a fun and enjoyable time. Socialization in puppyhood is a must as well."
261,Tibetan-Terrier,14-17 inches,18-30 pounds (male),15-16 years,5,3,3,3,3,2,Double,Long,3,3,4,4,3,4,3,4,96 of 202,Black-Black & Brindle-Black & Brown-Black & White-Black & White Brindle-Black Brown & White-Black White & Gold-Brindle-Brindle & White-Brown-Brown & White-Fawn-Fawn & White-Gold-Gold & White-Golden Brindle-Gray-Gray & White-Red-Red & White-Red Brindle-Sable-Sable & White-Silver-Silver & Black-Silver & White-White-White & Black-White & Gold-Black & Gold,Ticked-Black Points-White Markings-Black Markings-Black Mask-Sable,"The Tibetan Terrier, 'Holy Dog of Tibet,' is an ancient watchdog and companion long associated with Buddhist monasteries. A profusely coated, small-to-medium-sized dog with 'snowshoe' feet, the TT is affectionate, sensitive, and clever.
Bearing a passing resemblance to their smaller cousin, the Lhasa Apso, Tibetan Terriers reside at the lower end of medium-sized breeds, standing about 15 inches at the shoulder and weighing between 20 and 24 pounds. A breed hallmark is the beautiful and profuse double coat'¿wooly underneath, with a long, fine topcoat. TTs are unique among dogs for their large, flat 'snowshoe' feet, adapted over centuries to help them negotiate the snowy, mountainous terrain of their homeland.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","TTs can be a hardy, healthy breed that ages gracefully. But just as second-generation immigrants to Western countries succumb to Western diseases, the same phenomenon might be linked to the shift in TT health issues due to environmental changes in diet and lifestyle from its country of origin. Early spay and neuters can predispose dogs to joint issues. Many breeders request that the dog reach maturity before altering. Geriatric heart murmurs and cataracts are not uncommon in aging TTs. Occasionally senior TTs are struck with vestibular disease, which is fortunately something from which they can recover. Cancer is an increasing concern in aging TTs. Responsible breeders screen their stock for health conditions such as allergies, thyroid issues, bladder stones, periodontal disease, hip and patella issues. Genetic tests (such as for NCL, LL, PRA, etc.) are a valuable tool used by breeders to eliminate the expression of those diseases in their puppies.","Prospective TT owners may mistakenly think this is not the dog for them based upon the manicured, flowing coats seen on televised dog shows. But there's an agile, versatile dog underneath with a multi-purpose coat suited for everyday life. TTs have a double coat, the undercoat being wool, resistant to moisture and a natural insulator. Coat textures can vary from softer to harder to more or less prone to matting. The natural coat of the breed can stand up to most anything nature can dish out. It may be convenient to keep the dog in a puppy cut if a full coat hinders desired outdoor adventures. That being said, the real benefit of grooming a TT is that it strengthens the bond in relationship, is great training, and is a way to monitor the dog's health. It may come as a surprise how enjoyable grooming can be.","TTs love to take walks and be outdoors with their people. Individuals within the breed may have more or less drive for exercise. A good breeder will be able to place match each prospective owner with a compatible dog. If you want to hike up a mountain, there's a TT for that. If you're more of a homebody and simply walk around the block or take the stairs a couple times a day, there's a TT for that. Many TTs enjoy a post in the house where they can look out a window or door and perform sentry duty for their household. If this spot is an overlook like a stair landing or balcony, all the better.","This is an independent-minded breed that is quick to learn and will wither under obsessive repetition or harsh methods. Training practices that allow the dog to choose the right behavior are recommended. Clicker-training instruction is widely available, and both human and dog will enjoy the developing partnership from training together. TTs are enthusiastic students who love working closely with their owner (in things such as agility, rally, and nose work) and performing jobs that contribute to the household. They seek companionship based on mutual cooperation, trust, and respect. They have great capacity for love and devotion to their people."
262,Tornjak,23-28 inches,62-110 pounds,12-14 years,5,3,1,4,2,3,Double,Medium,3,3,5,3,3,3,3,3,,White,Black Markings-Black & Tan Markings,"The Tornjak is of steady disposition, friendly, courageous, obedient, intelligent, and full of dignity and self-confidence. Fierce in guarding property entrusted to him, he cannot be bribed and is suspicious of strangers. He is devoted to his master, very calm in his presence and very affectionate towards the people living in his immediate vicinity.
The Tornjak is also known as the Bosnian and Herzegovinian ' Croatian Shepherd dog. He is a large and powerful dog, well-proportioned and agile. The shape of his body is almost square. When standing and moving, he is strong, harmonious and well-balanced. His coat is long and thick. According to studies, the Tornjak is most likely a descendant of the Tibetan Mastiff, or from the area where modern-day Iran is. That environment has created a healthy and strong watchdog, with modest needs for food and shelter. Tornjaks are friendly with people, but aggressive towards other animals and dogs that threaten his owner, home, sheep, pen or flock. They like to work and take commands readily from their owners.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Some dogs may be faced with health challenges in their lives, but the majority of Tornjaks are healthy dogs. Working with a responsible breeder, prospective owners can gain the education they need to learn about specific health concerns within the breed.","Beyond regular weekly grooming, the occasional bath will keep your Tornjak clean and looking his best. Grooming can be a wonderful bonding experience for you and your dog. The strong, fast-growing nails should be trimmed regularly with a nail clipper or grinder to avoid overgrowth, splitting, and cracking. The ears should be checked regularly to avoid a buildup of wax and debris, which can result in infection. Teeth should be brushed regularly.","Options for exercise include play time in the backyard, preferably fenced, or walks several times a day. Exercise can also come in the form of indoor activities, like hide-and-seek, chasing a ball rolled along the floor, or learning new tricks. Certain outdoor activities like swimming, hiking, or retrieving balls or flying discs can provide a good outlet for expending energy. If you live in an apartment, even short walks in the hallways can give your dog some exercise, especially during inclement weather. Training for dog sports like agility, obedience, and rally can also be a great way to give your dog exercise.","The Tornjak learns quickly and keeps the information in his memory for a long time, gladly performing tasks assigned to him. As a result, he is easy to train."
263,Tosa,Minimum 21.5-23.5 inches,100-200 pounds,10-12 years,5,3,1,2,1,3,Smooth-Double,Short,1,3,5,3,3,3,3,4,,Black-Brindle-Fawn-Red,White Markings,"The Tosa's temperament is marked by patience, composure, boldness and courage. He is normally a tranquil, quiet, and obedient dog, with a calm but vigilant demeanor. With a stately manner and robust build, they were formerly bred for fighting, but are now used as watchdogs.
The Tosa is quietly affectionate with his own family, but may be somewhat aloof with strangers. This breed is also, by nature, watchful of other dogs and may react aggressively to dogs it considers intruders. Overtly aggressive behavior towards humans is uncharacteristic of the breed. Their short, dense coat can be fawn, red, apricot, black or brindle and they can also have white markings on their chest and feet. In addition, Tosas mature slowly and individual dogs may not reach their prime until as late as four years of age. This breed is the largest of all Japanese dog breeds. They are also known as the Tosa Ken, Tosa Dog, Tosa Token, Tosa Inu, Japanese Fighting Dog, and Japanese Mastiff.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Some dogs may be faced with health challenges in their lives, but the majority of Tosas are healthy dogs. Working with a responsible breeder, prospective owners can gain the education they need to learn about specific health concerns within the breed.","The Tosa's short, dense coat requires little grooming, and the occasional brushing will suffice. Beyond that, the occasional bath will keep them clean and looking their best. Their strong, fast-growing nails should be trimmed regularly with a nail clipper or grinder to avoid overgrowth, splitting, and cracking. The ears should be checked regularly to avoid a buildup of wax and debris, which can result in infection. Teeth should be brushed regularly.","Tosas are, by nature, a rather calm breed, though even low-energy breeds need some exercise in order to maintain a healthy weight and get mental stimulation. Options for exercise could include run time in the backyard, preferably fenced, or being taken for walks. Exercise can also come in the form of indoor activities like chasing a ball rolled along the floor or learning new tricks. Certain outdoor activities like hiking or retrieving balls can provide a good outlet for expending energy, too. Training for dog sports like agility, obedience, and rally can also be a great way to give your dog exercise.",The Tosa responds best to positive-reinforcement training methods because of his inherent desire to please his owner.
264,Toy-Fox-Terrier,8.5-11.5 inches,,13-15 years,5,3,3,3,2,1,Smooth,Short,5,4,5,4,5,4,4,4,111 of 202,"White & Black-White & Tan-White Black & Tan-White & Chocolate-White, Chocolate & Tan",,"A diminutive satin-coated terrier with an amusing toy-dog personality, the Toy Fox Terrier is, as breed fanciers say, 'truly a toy and a terrier.' They began as barnyard ratters but are today beguiling companions with a big personality.
A surefire recipe for fun: Take the lovability of a lapdog. Combine with terrier tenacity. Pour the mixture into a beautifully balanced container. Wrap in a tight-fitting satin coat. Top with large, erect ears and dark eyes that sparkle with eager intelligence. This is the Toy Fox Terrier, a lithe but sturdy little comedian standing under a foot tall but packed with enough charisma for a whole kennel of ordinary dogs. The breed's admirers like to say, 'TFTs are truly a toy and a terrier.'","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Obesity is a serious issue for Toy Fox Terriers. Healthy diet and exercise are a must. Responsible breeders will screen their stock for health conditions such as patellar luxation and eye disease.  The dog's anal glands must be checked often, and the teeth need to be cared for regularly.","The Toy Fox Terrier requires minimal grooming. Shedding is helped along by using a small shedding comb or a gentle hound glove. The breed needs only an occasional bath. The owner should start grinding or trimming the pup's toenails at a young age if possible, so that he will be accustomed to the procedure.","Quick, alert, and athletic, Toy Fox Terriers like running and romping. They enjoy walking, running, and hiking outdoors when they have the chance. On 'days off,' they are happy to run laps in the living room! Kids especially are charmed by the unending energy and zeal for play throughout this dog's life, but as with all toy breeds, they are not recommended for small children. Their small size makes them ideal for an apartment, although they love to explore the outdoors.","Early socialization and puppy training classes are recommended for all dogs and help to ensure that the Toy Fox Terrier grows into a well-adjusted, well-mannered companion. Housebreaking can involve just training the puppy to go outside, or it can include training him the use of a potty pad indoors, which can be very helpful for travel or during inclement weather conditions. Toy Fox Terriers are content and capable of any range of activities from hunting, to obedience, to just lounging around in the sun (or on the sofa). They are naturally extroverted and highly intelligent, which makes training, including housetraining, a breeze."
265,Transylvanian-Hound,22-26 inches,Minimum 55 pounds,10-14 years,5,5,5,3,2,3,Smooth,Short,4,5,5,4,4,5,4,5,,Black & Tan-Black Tan & White-Red & White,,"The Transylvanian Hound is good-natured, courageous, and enduring. At his foundation, he is quiet and even, but also determined and lively. The environmental conditions of the Carpathians made the breed a tough, brave dog.
The Transylvanian Hound is an ancient Hungarian hunter created by special climate, terrain, and hunting conditions. His whole appearance reflects nobility and harmony. Due to his medium size, his body is athletic, lean, muscular, and exaggerated, and his movement is balanced and elegant. Its basic nature is calm, balanced yet firm, temperamental, and adaptable. Their playful nature makes them an ideal family favorite. Because of their balance and friendliness, they can be kept both in an apartment or house. His courage and loyalty make him a good guard. This scent hound is a basic dog, but it can also be used for retrieval. Hunting in a group or alone, you will hear a far-ranging, high, ringing tone indicating the direction of the game. Working far from the farm, they developed problem-solving abilities and through the centuries have become highly intelligent.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Some dogs may be faced with health challenges in their lives, but the majority of Transylvanian Hounds are healthy dogs. Working with a responsible breeder, prospective owners can gain the education they need to learn about specific health concerns within the breed.","The Transylvanian Hound's short hair does not require any special care. Brushing once a week with a strong bristle blade should suffice. The elongated and loosened hairs can be rubbed with a rubber coat glove. The strong, fast-growing nails should be trimmed regularly and kept short with a nail clipper or grinder to avoid overgrowth, splitting, and cracking. The ears should be checked occasionally to avoid a buildup of wax and debris, which can result in infection. Teeth should be brushed when needed.","The Transylvanian Hound is a very active breed. Plan for at least an hour-long walk or run daily. Remember that the urge to chase game may be more powerful than the attachment to his master. For this reason, walking without a leash is not advisable and off-leash romps must be in areas that are securely enclosed. Training for dog sports like agility, obedience, and rally can also be a great way to give your dog exercise.","The Transylvanian Hound is primarily a hunting dog who can hardly resist his ancient instincts, so it is very important to train him appropriately. Patience and perseverance are required. The Transylvanian Hound is sensible enough to understand what his handlers want from him; he just may not agree with it. Education should be consistent and clear, but not for long periods of time. Hard training methods are not recommended."
266,Treeing-Tennessee-Brindle,16-24 inches,30-50 pounds,10-12 years,5,3,5,2,2,3,Smooth,Short,3,3,3,3,3,3,5,4,,Black-Brindle,White Markings-Brindle Trim,"The Treeing Tennessee Brindle is an exceptionally sturdy and healthy breed. They are intelligent, brave, courageous and loyal companions with a strong inbred instinct for hunting. The breed bays during a hunt, which means they cry out to the hunter.
The Treeing Tennessee Brindle originated in the United States, most notably the areas in and around the Appalachian and Ozark Mountains. They are bred from Cur dogs with a focus to have great scenting power, be an open trailer with good voice, and retain the uncanny ability to tree all kinds of game. Brindle-colored, smaller in size, and with a shorter ear, they are different in conformation than the Plott. The Treeing Tennessee Brindles are a very intelligent, courageous, and companionable breed. Alert, agile, and fast, they make for wonderful hunting dogs.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Some dogs may be faced with health challenges in their lives, but the majority of Treeing Tennessee Brindles are healthy dogs. Working with a responsible breeder, prospective owners can gain the education they need to learn about specific health concerns within the breed.","The breed's short-haired, smooth coat requires weekly brushing with a soft bristle brush or hound glove. Beyond regular weekly grooming, the occasional bath will keep your Treeing Tennessee Brindle clean and looking his best. Grooming can be a wonderful bonding experience for you and your dog. The strong fast-growing nails should be trimmed regularly with a nail clipper or grinder to avoid overgrowth, splitting, and cracking. The ears should be checked regularly to avoid a buildup of wax and debris, which can result in infection. Teeth should be brushed regularly.","Treeing Tennessee Brindles need regular exercise to keep them healthy and fit, both physically and mentally. Options for exercise include play time in the backyard, preferably fenced, or going for walks several times a day. Exercise can also come in the form of indoor activities, like hide-and-seek, chasing a ball rolled along the floor, or learning new tricks. Certain outdoor activities like swimming, hiking, or retrieving balls or flying discs can provide a good outlet for expending energy. Training for dog sports like agility, obedience, and rally can also be a great way to give your dog exercise.",
267,Treeing-Walker-Coonhound,22-27 inches (male),50-70 pounds,12-13 years,5,5,5,3,1,3,Smooth,Short,3,4,3,4,5,5,4,5,137 of 202,Black-White-Tri-Colored,"Blanket-Back-Black Spots-Black Spots, Tan Trim-Saddle-Back-Tan Spots-White Markings, Tan Trim","A smart, brave, and sensible hunter, the Treeing Walker Coonhound is a genuine American favorite, nicknamed ""The People's Choice."" Don't let the name fool you'¿ Walkers are runners and are capable of covering a lot of ground in a hurry.
Few things can quicken a coon hunter's pulse like the sight of this swift tricolored hound in full stride'¿the long, muscular legs, the powerful and propulsive hindquarters, and the streamlined frame all working to cover maximum ground with minimum effort. Later, basking in the warmth of a campfire after an honest night's work, this sweet-faced hound will look up and stir your soul with his gentle, pleading expression. Mercy, what a pretty picture! No wonder Treeing Walkers are called the People's Choice.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The Treeing Walker is overall quite a healthy breed, and responsible breeders screen their stock for health conditions such as hip dysplasia and eye anomalies. Be sure to always check the dog's ears when he comes in from outside, as ticks love to burrow beneath the coonhound's floppy ears. Removing excess ear wax and debris and checking the ears at least weekly will help you to avoid common ear infections.","The Treeing Walker is a very low-maintenance breed. His short, smooth coat repels dirt and mud, and he will require only the occasional bath to maintain his handsome appearance. Wiping him down with a damp towel or a hound glove will keep his coat shining. His nails should be trimmed every couple of weeks, as long nails can cause the dog discomfort and structural problems. A hound's ears should be cleaned regularly to keep them free of excess wax or debris and to check for any signs of ear infection. The Treeing Walker will look forward to grooming sessions as bonding experiences with the human he loves.","Like most coonhounds, the Treeing Walker is a high-energy breed who delights in stretching his legs in a good, long run. He is an excellent candidate for someone who wants a running or hiking companion. While most coonhounds can quite happily become couch potatoes, most will still appreciate long daily walks at a minimum. Romps in the backyard, chasing a ball, or playing with human or canine friends will help to keep him mentally and physically healthy. The Treeing Walker has a very high prey drive and should be on a leash for walks and hikes, as he may be unable to resist the instinct to pursue an interesting scent.","The Treeing Walker Coonhound is very intelligent and eager to learn. These hounds love to please their people, but they also have a stubborn, independent streak. This can make them seem difficult to a trainer who doesn't understand the coonhound brain. Keeping training lessons fun and entertaining and praising good behavior and jobs well done with treats as well as effusive praise will result in a hound who is a joy to live with."
